"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
183,"1","2025-04-17T14:49:32.751915Z",167,2.119,"Neutral","@RMantri ur ff is set to private can't reed anything ","2025-04-17T14:49:32.751915Z"
184,"1","2025-04-17T14:49:34.262933Z",168,1.335,"Neutral","@MaccaDingDong  Hello Again  How are you? xxx","2025-04-17T14:49:34.262933Z"
185,"1","2025-04-17T14:49:39.909015Z",169,5.464,"Positive","Thank you for this quick and efficient explanation! 🎉😮. I still think it's a bit crazy to give so much power to a third party if you are a big company. So much data can be duplicate or stolen even if ""it's secure.""","2025-04-17T14:49:39.909015Z"
186,"1","2025-04-17T14:49:44.284809Z",170,4.146,"Neutral","@EdenEuthanasia at least i remembered my photo ID so i COULD take them!!!! ","2025-04-17T14:49:44.284809Z"
187,"1","2025-04-17T14:49:47.105145Z",171,2.634,"Neutral","Pretty sure David would agree with me that all of you are focused on the wrong thing… his voice instead of the gorgeous majesty he narrates.","2025-04-17T14:49:47.105145Z"
188,"1","2025-04-17T14:49:52.266734Z",172,4.972,"Neutral","He makes it look easy because it is easy","2025-04-17T14:49:52.266734Z"
189,"1","2025-04-17T14:49:54.899580Z",173,2.448,"Positive","A very pragmatic analysis.","2025-04-17T14:49:54.899580Z"
190,"1","2025-04-17T14:49:58.408753Z",174,3.316,"Neutral","been working so hard...i got this feeling...i hit the ceiling... FOOTLOOSE!! ","2025-04-17T14:49:58.408753Z"
191,"1","2025-04-17T14:50:11.013073Z",175,12.429,"Positive","so it wasnt a fail.but it wasnt a first either  deeply resent not having revised lec 6 + 7 (it was so easy too!)","2025-04-17T14:50:11.013073Z"
192,"1","2025-04-17T14:50:12.611491Z",176,1.353,"Neutral","mi","2025-04-17T14:50:12.611491Z"
193,"1","2025-04-17T14:50:17.009537Z",177,4.214,"Neutral","@chelseyann226 Don't do that! :o Then you'll be blind and you wont be able to see his gorgeous face ever again ","2025-04-17T14:50:17.009537Z"
194,"1","2025-04-17T14:50:20.146903Z",178,2.953,"Neutral","@njlevy @NeonGypsies lost his right leg in a tragic waterskiing accident. He's pretty sensitive about it. ","2025-04-17T14:50:20.146903Z"
195,"1","2025-04-17T14:50:24.102966Z",179,3.762,"Neutral","@jamesrpage Lucky you're not still working here. Some serious SPJC (Spray Painted Jeans Comp) between u @WE55SIDE  &amp; @marktsen  ","2025-04-17T14:50:24.102966Z"
196,"1","2025-04-17T14:50:25.878456Z",180,1.593,"Neutral","@augustagaliving I wish mine would go to sleep. ","2025-04-17T14:50:25.878456Z"
197,"1","2025-04-17T14:50:31.968814Z",181,5.908,"Negative","@StewartKris It sucks that both yours and @PattinsonRobT's twitters were hacked. Thnx 4 sticking around anyway. Your fans appreciate it ","2025-04-17T14:50:31.968814Z"
198,"1","2025-04-17T14:50:36.128448Z",182,3.973,"Neutral","I've got a crazy idea - Follow the Principles in the Founding Documents:  Declaration of Independence, U.S. Constitution, and Bill of Rights.  🇺🇸

The Founding Fathers were aware of the Ego pitfalls of Authoritarianism, Co-Dependency, Over-Spending, etc.","2025-04-17T14:50:36.128448Z"
199,"1","2025-04-17T14:50:39.477178Z",183,3.17,"Neutral","I have the house cleaned to the stage where I can now ask people over.  Some spiders did die in the process though ","2025-04-17T14:50:39.477178Z"
200,"1","2025-04-17T14:50:45.772594Z",184,6.108,"Neutral","@SeanCallinan Slaughter? Pft, we got didn't own at all. ","2025-04-17T14:50:45.772594Z"
201,"1","2025-04-17T14:50:47.803681Z",185,1.852,"Neutral","I'm surprised that the Battle of the Atlantic isn't in the top 10.","2025-04-17T14:50:47.803681Z"
202,"1","2025-04-17T14:50:52.008633Z",186,4.023,"Neutral","Jst got pulled over for speedin in Indiana ","2025-04-17T14:50:52.008633Z"
203,"1","2025-04-17T14:50:53.757130Z",187,1.568,"Neutral","@JaceyTH @adall I really want to, but next train out of Long Island is at 5:20. ","2025-04-17T14:50:53.757130Z"
204,"1","2025-04-17T14:51:03.208493Z",188,9.263,"Neutral","@ann_donnelly Oh... I've had two since then  I at least have the good grace to look embarrassed","2025-04-17T14:51:03.208493Z"
205,"1","2025-04-17T14:51:04.297258Z",189,0.899,"Neutral","1:57","2025-04-17T14:51:04.297258Z"
206,"1","2025-04-17T14:51:06.965002Z",190,2.477,"Negative","tummy ache ","2025-04-17T14:51:06.965002Z"
207,"1","2025-04-17T14:51:11.107616Z",191,3.948,"Neutral","@pixelmehawaii Dang, if Ward was still open I might have had a chance at the free ice cream! Windward is far, far away.  Menchies?","2025-04-17T14:51:11.107616Z"
208,"1","2025-04-17T14:51:23.143870Z",192,11.838,"Neutral","@Shinybiscuit bollocks! i've just remembered i'm in paris next week... is it bad to want to cancel my flights so i can bake?  OM NOM NOM","2025-04-17T14:51:23.143870Z"
209,"1","2025-04-17T14:51:24.483377Z",193,1.151,"Neutral","Boooooooooooooooooooooooooooooooooo","2025-04-17T14:51:24.483377Z"
210,"1","2025-04-17T14:51:31.511966Z",194,6.842,"Neutral","@barryfrangipane Are you and Debbie, having a great time? Was told to start being more conservative about what I Tweet. ","2025-04-17T14:51:31.511966Z"
211,"1","2025-04-17T14:51:38.982265Z",195,7.295,"Positive","I so need sleep, random catch up with my cousin. Loved it! But work in 6 hours sounds hideous ","2025-04-17T14:51:38.982265Z"
212,"1","2025-04-17T14:51:44.019260Z",196,4.839,"Negative","Not feeling so hot, will probably spend the evening at home. ","2025-04-17T14:51:44.019260Z"
213,"1","2025-04-17T14:51:48.621193Z",197,4.429,"Neutral","It’s trump being bossed around by his tech overlords.","2025-04-17T14:51:48.621193Z"
214,"1","2025-04-17T14:51:50.548600Z",198,1.738,"Neutral","@DonnieWahlberg  @jordanknight  @JonathanRKnight  @joeymcintyre  @dannywood   makin us  for FULL SERVICE TOUR!!","2025-04-17T14:51:50.548600Z"
215,"1","2025-04-17T14:51:55.554712Z",199,4.828,"Neutral","@shorecamp @bafh666 Ok, ok! Habs gerade bestellt. ","2025-04-17T14:51:55.554712Z"
216,"1","2025-04-17T14:51:57.814501Z",200,2.077,"Positive","Exxelent.. Live art..","2025-04-17T14:51:57.814501Z"
217,"1","2025-04-17T14:52:01.065252Z",201,3.073,"Positive"," @sock356  what a comment","2025-04-17T14:52:01.065252Z"
218,"1","2025-04-17T14:52:04.116107Z",202,2.865,"Positive","@TimmyofFiTH broke his 'no partying until i party with you guys' promise. Haha ","2025-04-17T14:52:04.116107Z"
219,"1","2025-04-17T14:52:07.325912Z",203,4.3260000000000005,"Neutral","Omg I didn’t recognize that so true","2025-04-17T14:52:10.774008Z"
